Plant Code,Plant Name,State,County,Latitude,Longitude,Nameplate Capacity (MW),Retirement Year,Name of Water Source,suitability_score,predicted_score,suitability_class,co2_reduction_tons_per_year
4150,Neil Simpson,WY,Campbell,44.2872,-105.3878,21.7,2014.0,Wells,3,2.81,Poor (3+ violations),115547.42220000002
4151,Osage (WY),WY,Weston,43.9703,-104.4106,34.5,2014.0,Wells,3,2.8,Poor (3+ violations),183704.427
4941,Navajo,AZ,Coconino,36.9047,-111.3886,2409.3,2019.0,Lake Powell,0,0.2,Excellent (0 violations),12828958.7238
6017,Newton,IL,Jasper,38.9361,-88.2781,617.4,2016.0,"Laws Creek, Sandy Creek",0,1.02,Excellent (0 violations),3287510.5284000007
6052,Wansley,GA,Heard,33.41342,-85.032329,1904.0,2022.0,Chattahoochee River,0,0.0,Excellent (0 violations),10138354.464
6055,Big Cajun 2,LA,Pointe Coupee,30.7261,-91.3692,730.0,,Mississippi River,2,1.8,Fair (2 violations),3887079.1800000006
6061,R D Morrow,MS,Lamar,31.2186,-89.394,400.0,2018.0,Wells,2,2.2,Fair (2 violations),2129906.4000000004
6064,Nearman Creek,KS,Wyandotte,39.1681,-94.6975,261.0,,Missouri River,3,2.27,Poor (3+ violations),1389763.926
6076,Colstrip,MT,Rosebud,45.8831,-106.614,716.0,2020.0,Yellowstone River,0,0.86,Excellent (0 violations),3812532.4560000007
6085,R M Schahfer,IN,Jasper,41.2164,-87.0261,1096.4,2021.0,Kankakee River,0,0.0,Excellent (0 violations),5838073.4424
6089,Lewis & Clark,MT,Richland,47.6785,-104.15665,50.0,2021.0,Yellowstone River,2,1.8,Fair (2 violations),266238.30000000005
6090,Sherburne County,MN,Sherburne,45.3808,-93.8931,765.3,2023.0,Mississippi River,0,0.41,Excellent (0 violations),4075043.4198000007
6095,Sooner,OK,Noble,36.45307,-97.05279,950.0,,Sooner Lake,1,0.8,Good (1 violation),5058527.7
6106,Boardman,OR,Morrow,45.693182,-119.808819,642.2,2020.0,Carty Reservoir,0,0.2,Excellent (0 violations),3419564.7252
6124,McIntosh,GA,Effingham,32.356287,-81.168347,177.6,2019.0,Savannah River,2,1.66,Fair (2 violations),945678.4416000001
6137,A B Brown,IN,Posey,37.9053,-87.715,530.4,2023.0,Ohio River,0,0.24,Excellent (0 violations),2824255.8863999997
6139,Welsh,TX,Titus,33.05522,-94.839993,558.0,2016.0,Swauano Creek Reserv,1,2.02,Good (1 violation),2971219.428
6146,Martin Lake,TX,Rusk,32.2606,-94.5706,800.0,,Martin Lake,2,1.8,Fair (2 violations),4259812.800000001
6147,Monticello,TX,Titus,33.0917,-95.0417,2780.0,2018.0,Monticello Reservoir,1,1.05,Good (1 violation),14802849.480000002
6155,Rush Island,MO,Jefferson,38.131248,-90.263157,1242.0,2024.0,Mississippi River,0,0.0,Excellent (0 violations),6613359.372000001
6170,Pleasant Prairie,WI,Kenosha,42.5381,-87.9033,1233.2,2018.0,Lake Michigan,0,0.0,Excellent (0 violations),6566501.431200001
6180,Oak Grove (TX),TX,Robertson,31.1803,-96.4866,1601.6,,Twin Oak Reservoir,2,1.12,Fair (2 violations),8528145.225600002
6181,J T Deely,TX,Bexar,29.308056,-98.3228,932.0,2023.0,Calaveras Lake,1,0.87,Good (1 violation),4962681.9120000005
6238,Pearl Station,IL,Pike,39.449185,-90.614119,22.0,2012.0,Illinois River,3,2.8,Poor (3+ violations),117144.85200000001
6257,Scherer,GA,Monroe,33.0606,-83.8075,891.0,2022.0,Lake Juliette,0,0.2,Excellent (0 violations),4744366.506000001
6648,Sandow No 4,TX,Milam,30.565871,-97.064032,590.6,2018.0,Lake Alcoa,1,1.74,Good (1 violation),3144806.7996
6772,Hugo,OK,Choctaw,34.0158,-95.3206,750.0,,Kiamichi River,1,0.95,Good (1 violation),3993574.5000000005
7030,Major Oak Power,TX,Robertson,31.091925,-96.69503,600.0,,Wells,2,2.02,Fair (2 violations),3194859.6
7286,Richard Gorsuch,OH,Washington,39.3664,-81.5211,200.0,2010.0,Ohio River,3,2.65,Poor (3+ violations),1064953.2000000002
7537,North Branch (WV),WV,Grant,39.2633,-79.3308,80.0,2012.0,Air Cooled Condensor,3,3.08,Poor (3+ violations),425981.28
7549,Milwaukee County,WI,Milwaukee,43.046,-88.0281,11.0,2016.0,Municipality,2,2.21,Fair (2 violations),58572.42600000001
7790,Bonanza,UT,Uintah,40.0864,-109.2844,110.0,,Green River,3,2.31,Poor (3+ violations),585724.2600000001
7902,Pirkey,TX,Harrison,32.4607,-94.4852,721.0,2023.0,Brandy Branch Reserv,1,1.14,Good (1 violation),3839156.286000001
8223,Springerville,AZ,Apache,34.3186,-109.1639,400.0,,Wells,2,1.8,Fair (2 violations),2129906.4000000004
10025,"RED-Rochester, LLC",NY,Monroe,43.1989,-77.6319,50.9,2007.0,Lake Ontario,3,3.04,Poor (3+ violations),271030.58940000006
10075,Taconite Harbor Energy Center,MN,Cook,47.5314,-90.9114,252.0,2023.0,Lake Superior,2,1.51,Fair (2 violations),1341841.032
10202,Fernandina Beach Mill,FL,Nassau,30.681823,-81.455413,9.3,2003.0,Wells,4,3.62,Poor (3+ violations),49520.3238
10252,Domtar Kingsport Mill,TN,Sullivan,36.5489,-82.5667,4.0,1999.0,River Treated Internally,3,3.2,Poor (3+ violations),21299.064
10302,Juniata Locomotive Shop,PA,Blair,40.533299,-78.384125,4.0,2015.0,Municipality,2,2.48,Fair (2 violations),21299.064
10320,Enka,NC,Buncombe,35.533333,-82.65,16.3,2001.0,,4,3.8,Poor (3+ violations),86793.68579999999
10360,Consumer Operations LLC,WI,Brown,44.4936,-88.0303,73.2,2014.0,Lower Fox River,3,2.28,Poor (3+ violations),389772.8712
10474,4 AC Station,IN,Lake,41.68,-87.426389,135.0,1999.0,Lake Michigan,3,3.13,Poor (3+ violations),718843.4099999999
10678,AES Warrior Run Cogeneration Facility,MD,Allegany,39.595171,-78.745333,229.0,2024.0,City Of Cumberland Water Suppl,3,2.3,Poor (3+ violations),1219371.414
10793,Seaford Delaware Plant,DE,Sussex,38.6311,-75.6261,10.0,2009.0,Nanticoke River,4,3.73,Poor (3+ violations),53247.66
10860,Archer Daniels Midland Clinton,IA,Clinton,41.8206,-90.2097,31.4,2008.0,Well,3,3.1,Poor (3+ violations),167197.6524
10866,Archer Daniels Midland Peoria,IL,Peoria,40.677188,-89.604911,15.0,2013.0,Illinois River,3,2.77,Poor (3+ violations),79871.49
50083,Washington State University,WA,Whitman,46.729444,-117.170833,2.0,2005.0,Wells,3,2.8,Poor (3+ violations),10649.532
50189,Domtar Paper Co LLC Plymouth NC,NC,Martin,35.8628,-76.7831,15.0,2006.0,Roanoke River,3,3.35,Poor (3+ violations),79871.49
50275,Park 500 Philip Morris USA,VA,Chesterfield,37.3389,-77.2806,6.1,2013.0,Municipality,3,2.63,Poor (3+ violations),32481.0726
50308,Utility Plants Section,AK,Fairbanks North Star,64.825601,-147.648627,2.5,2009.0,Municipality,3,2.8,Poor (3+ violations),13311.915
50392,Eielson AFB Central Heat & Power Plant,AK,Fairbanks North Star,64.67141,-147.075988,5.0,2022.0,Cooling Pond / 3 Wells,2,1.8,Fair (2 violations),26623.83
50398,International Paper Savanna Mill,GA,Chatham,32.100354,-81.124248,37.5,2001.0,Wells,3,2.98,Poor (3+ violations),199678.725
50636,Brainerd Public Utilities,MN,Crow Wing,46.3758,-94.1817,0.6,2014.0,Mississippi River,3,2.8,Poor (3+ violations),3194.8596000000007
50879,Wheelabrator Frackville Energy,PA,Schuylkill,40.782377,-76.176184,48.0,2020.0,Mine Pool,2,2.07,Fair (2 violations),255588.76800000004
50900,Covington Facility,VA,Alleghany,37.799722,-79.9947,21.0,2013.0,Jackson River,3,2.57,Poor (3+ violations),111820.08600000001
50976,Indiantown Cogeneration LP,FL,Martin,27.0389,-80.5125,395.4,2020.0,Taylor Creek,2,2.0,Fair (2 violations),2105412.4764
52007,Mecklenburg Power Station,VA,Mecklenburg,36.59951,-78.52991,139.8,2019.0,John H Kerr Reservoir,2,1.87,Fair (2 violations),744402.2868
52048,Vanderbilt University Power Plant,TN,Davidson,36.145896,-86.803833,11.0,2014.0,Municipality,3,2.51,Poor (3+ violations),58572.42600000001
52071,Sandow No 5,TX,Milam,30.5681,-97.0614,1024.5,2018.0,Alcoa Lake Treatment System,1,1.25,Good (1 violation),5455222.767
54081,Spruance Operating Services LLC,VA,Richmond City,37.4556,-77.4308,114.8,2021.0,James River,2,1.8,Fair (2 violations),611283.1368000001
54201,Iowa State University,IA,Story,42.0275,-93.6394,3.0,2004.0,Wells,3,3.33,Poor (3+ violations),15974.298000000003
54216,U S Alliance Coosa Pines,AL,Talladega,33.328107,-86.356825,25.0,2008.0,Coosa River,4,3.8,Poor (3+ violations),133119.15000000002
54276,Univ of NC Chapel Hill Cogen Facility,NC,Orange,35.9069,-79.0617,24.0,,Orange Water & Sewer Authority,3,2.69,Poor (3+ violations),127794.38400000002
54335,Morton Salt Rittman,OH,Wayne,40.9692,-81.7756,1.5,2015.0,Wells,2,2.76,Fair (2 violations),7987.149000000001
54414,John Deere Dubuque Works,IA,Dubuque,42.5734,-90.6926,14.0,2010.0,Wells,3,3.01,Poor (3+ violations),74546.724
54965,Cargill Salt,MI,St Clair,42.8183,-82.4856,1.9,2002.0,Saint Clair River,3,3.2,Poor (3+ violations),10117.055400000001
55638,Walhalla,ND,Pembina,48.908944,-97.886521,2.0,2012.0,Municipality,3,2.8,Poor (3+ violations),10649.532
55821,Curtis H Stanton Energy Center,FL,Orange,28.488246,-81.166944,329.0,,Stanton Energy Center,3,2.41,Poor (3+ violations),1751848.0140000002
56163,Kennecott Power Plant,UT,Salt Lake,40.7119,-112.1225,182.0,2019.0,Wells,2,2.04,Fair (2 violations),969107.4120000001
56642,Ely Energy Center,NV,White Pine,39.5,-114.783333,1500.0,,Wells,1,0.8,Good (1 violation),7987149.000000001
58063,SABIC Innovative Plastics Mt. Vernon,IN,Posey,37.910278,-87.926111,5.5,2017.0,Ohio River,2,1.99,Fair (2 violations),29286.213000000003
58194,West Campus Steam Plant,PA,Centre,40.792778,-77.864722,6.0,2015.0,campus water,2,2.49,Fair (2 violations),31948.596000000005
60373,SunCoke Energy South Shore Facility,KY,Greenup,38.738,-82.925,90.0,,Ohio River,3,2.42,Poor (3+ violations),479228.94000000006
65284,Dickerson,MD,Montgomery,39.2097,-77.4644,588.0,2020.0,Potomac River,1,1.82,Good (1 violation),3130962.4080000003
65285,Chalk Point Steam,MD,Prince Georges,38.5444,-76.6861,728.0,2021.0,Patuxent River,1,1.56,Good (1 violation),3876429.6480000005
